"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"229","Wang_2018",3,"1",0.23632,1,1,1,"-1",0.34,-0.34,"-1",0.505,1,-0.505,1
"230","Wang_2018",3,"0",0.18847,-0.67,0.67,-1,"1",1,1,"1",1,1,1,1
"231","Wang_2018",3,"0",0.59808,-0.34,0.34,-1,"-1",0.67,-0.67,"-1",1,1,-1,1
"232","Wang_2018",3,"0",0.1542,1e-05,0.01,0.001,"-1",0.34,-0.34,"-1",1,1,-1,0
"233","Wang_2018",3,"0",0.37453,-0.34,0.34,-1,"0.001",0.01,1e-05,"-1",1,1,-1,1
"234","Wang_2018",3,"0",0.068102,-0.67,0.67,-1,"-1",0.34,-0.34,"-1",1,1,-1,1
"235","Wang_2018",3,"1",0.2044,0.67,0.67,1,"-1",0.67,-0.67,"-1",1,1,-1,1
"236","Wang_2018",3,"0",0.00048801,-0.67,0.67,-1,"1",0.67,0.67,"1",1,1,1,1
"237","Wang_2018",3,"0",0.082333,1e-05,0.01,0.001,"-1",0.67,-0.67,"-1",1,0.505,-1,0
"238","Wang_2018",3,"0",0.44259,1e-05,0.01,0.001,"0.001",0.01,1e-05,"-1",0.505,0.505,-0.505,0
"239","Wang_2018",3,"0",0.030541,0.67,0.67,1,"0.001",0.01,1e-05,"-1",0.505,1,-0.505,0
"240","Wang_2018",3,"1",0.33372,-1,1,-1,"1",0.67,0.67,"-1",1,0.01,-1,0
"241","Wang_2018",3,"0",1.5778,1e-05,0.01,0.001,"-1",1,-1,"1",0.01,1,0.01,0
"242","Wang_2018",3,"0",0.1321,-1,1,-1,"0.001",0.01,1e-05,"-1",1,1,-1,1
"243","Wang_2018",3,"1",0.1565,-0.34,0.34,-1,"-1",1,-1,"-1",1,1,-1,0
